Key,Value,T
regionNames,"Alik'r Desert
Dragontail Mountains
Glenpoint Foothills
Daggerfall Bluffs
Yeorth Burrowland
Dwynnen
Ravennian Forest
Devilrock
Malekna Forest
Isle of Balfiera
Bantha
Dak'fron
Islands in the Western Iliac Bay
Tamarilyn Point
Lainlyn Cliffs
Bjoulsae River
Wrothgarian Mountains
Daggerfall
Glenpoint
Betony
Sentinel
Anticlere
Lainlyn
Wayrest
Gen Tem High Rock village
Gen Rai Hammerfell village
Orsinium Area
Skeffington Wood
Hammerfell bay coast
Hammerfell sea coast
High Rock bay coast
High Rock sea coast
Northmoor
Menevia
Alcaire
Koegria
Bhoriane
Kambria
Phrygias
Urvaius
Ykalon
Daenia
Shalgora
Abibon-Gora
Kairou
Pothago
Myrkwasa
Ayasofya
Tigonus
Kozanset
Satakalaam
Totambu
Mournoth
Ephesus
Santaki
Antiphyllos
Bergama
Gavaudon
Tulune
Glenumbra Moors
Ilessan Hills
Cybiades","alik'r沙漠 
 龙尾山 
 Glenpoint Foothills 
 匕首虚张声势 
 Yeorth Burrowland 
 德温宁 
 拉文尼森林 
 恶魔 
 马利克纳森林 
 Balfiera岛 
 班莎 
 Dak'fron 
 西伊利亚西亚湾的岛屿 
 塔马利人 
 莱林悬崖 
 Bjoulsae河 
 弗洛斯加利亚山脉 
 匕首 
 Glenpoint 
 贝尼 
 哨兵 
 背叛者 
 莱恩 
 Wayrest 
 Tem High Rock Village Gen 
 Rai Hammerfell村 
 or骨面积 
 Skeffington Wood 
 Hammerfell湾海岸 
 Hammerfell Sea Coast 
 高岩湾海岸 
 高岩海海岸 
 北马 
 梅内维亚 
 阿尔凯尔 
 Koegria 
 Bhoriane 
 坎布里亚 
 Phrygias 
 Urvaius 
 Ykalon 
 丹尼亚 
 沙尔戈拉 
 Abibon-Gora 
 Kairou 
 pothago 
 Myrkwasa 
 Ayasofya 
 蒂戈努斯 
 Kozanset 
 Satakalaam 
 Totambu 
 莫尔诺 
 以弗所 
 桑塔基 
 抗植物 
 雪人 
 加瓦顿 
 图元 
 Glenumbra Moors 
 伊利桑山 
 Cybiades"
ocean,Ocean,海洋
unknownUpper,Unknown,未知
switchToRegion,Switch To: {0} Region,切换到：{0}区域
locationInRegionProvince,{0} in {1} province,{0} in {1}省
dayNames,"Sundas
Morndas
Tirdas
Middas
Turdas
Fredas
Loredas","Sundas 
 莫恩达斯 
 蒂德斯 
 Middas 
 Turdas 
 弗雷达斯 
 洛雷达斯"
monthNames,"Morning Star
Sun's Dawn
First Seed
Rain's Hand
Second Seed
Midyear
Sun's Height
Last Seed
Hearthfire
Frostfall
Sun's Dusk
Evening Star","晨星 
 太阳的黎明 
 第一个种子 
 雨的手 
 第二种子 
 年中 
 太阳的高度 
 最后种子 
 炉火 
 霜冻 
 太阳的黄昏 
 晚星"
birthSignNames,"The Ritual
The Lover
The Lord
The Mage
The Shadow
The Steed
The Apprentice
The Warrior
The Lady
The Tower
The Atronach
The Thief","仪式 
 情人 
 主 
 法师 
 影子 
 马 
 学徒 
 战士 
 这位女士 
 塔 
 Atronach 
 小偷"
seasonNames,"Fall
Spring
Summer
Winter","落下 
 春天 
 夏天 
 冬天"
longDateTimeFormatString,"{0:00}:{1:00}:{2:00} on {3}, {4}{5} of {6:00}, 3E{7}",{0:00}：{1:00}：{2:00} on {3}，{4} {5} {6:00}，3e {7}
dateTimeFormatString,"{0:00}:{1:00}:{2:00} on {3}{4} of {5:00}, 3E{6}",{0:00}：{1:00}：{2:00} on {3} {4}的{5:00}，3e {6}
dateFormatString,{0} the {1}{2} of {3:00},{0} {1} {2}的{3:00}
ingredientFormatString,{0} {1},{0} {1}
longWeaponNameFormatString,{0} {1},{0} {1}
longArmorNameFormatString,{0} {1},{0} {1}
strRatings,"pathetic
frail
weak
below average
about average
fairly strong
athletic
very strong
powerful
superhuman","可怜的 
 脆弱 
 虚弱的 
 低于平均值 
 差不多 
 相当强大 
 运动 
 非常强壮 
 强大的 
 超人"
intRatings,"vegetable-like
idiotic
half-witted
dim
about average
cunning
fairly clever
very intelligent
brilliant
genius","类似蔬菜 
 愚蠢的 
 一半 
 暗淡 
 差不多 
 狡猾 
 相当聪明 
 很聪明 
 杰出的 
 天才"
wilRatings,"inane
submissive
passive
distracted
unassertive
stable
confident
strong-willed
very focused
enlightened","inane 
 顺从 
 被动的 
 分心 
 毫无鉴定 
 稳定的 
 自信的 
 意志坚强 
 非常专注 
 开明"
agiRatings,"oafish
bumbling
clumsy
awkward
about average
spry
nimble
dexterous
very agile
acrobatic","oafish 
 笨拙 
 笨拙 
 尴尬的 
 差不多 
 轻快 
 敏捷 
 轻巧 
 非常敏捷 
 杂技"
endRatings,"sickly
pitiable
unsteady
erratic
about average
above average
very healthy
hardy
titanic
immortal","生病 
 可怜 
 不稳定 
 不稳定的 
 差不多 
 高于平均水平 
 非常健康 
 哈代 
 泰坦尼克号 
 不朽"
perRatings,"abhorrent
unpopular
anonymous
unassuming
unremarkable
interesting
charming
arresting
authoritative
charismatic","憎恶 
 不受欢迎 
 匿名的 
 谦逊 
 不明显 
 有趣的 
 迷人 
 逮捕 
 权威性 
 超凡魅力"
spdRatings,"inactive
sluggish
very slow
slow
about average
above average
fast
fleet-footed
lightning-fast
meteoric","不活动 
 迟缓 
 非常慢 
 慢的 
 差不多 
 高于平均水平 
 快速地 
 舰队足 
 闪电 
 陨石"
lucRatings,"cursed
hopeless
ill-favored
unfortunate
about average
fairly lucky
lucky
fortunate
very auspicious
divinely favored","诅咒 
 绝望 
 不好 
 不幸的 
 差不多 
 很幸运 
 幸运的 
 幸运 
 非常吉祥 
 受到神圣的青睐"
Mage,Mage,法师
Spellsword,Spellsword,拼写标志
Battlemage,Battlemage,战司
Sorcerer,Sorcerer,巫师
Healer,Healer,治愈者
Nightblade,Nightblade,睡衣
Bard,Bard,诗人
Burglar,Burglar,小偷
Rogue,Rogue,流氓
Acrobat,Acrobat,杂技演员
Thief,Thief,贼
Assassin,Assassin,刺客
Monk,Monk,僧
Archer,Archer,射手
Ranger,Ranger,游侠
Barbarian,Barbarian,野蛮人
Warrior,Warrior,战士
Knight,Knight,骑士
Custom,Custom,风俗
darkBrotherhoodRanks,"Apprentice
Journeyman
Operator
Slayer
Executioner
Punisher
Terminator
Assassin
Dark Brother
Master Assassin","学徒 
 旅行者 
 操作员 
 杀手 
 execution子 
 惩罚者 
 终结者 
 刺客 
 黑暗的兄弟 
 大师刺客"
fightersRanks,"Apprentice
Journeyman
Swordsman
Protector
Defender
Warder
Guardian
Champion
Warrior
Master","学徒 
 旅行者 
 剑客 
 保护者 
 后卫 
 看守 
 监护人 
 冠军 
 战士 
 掌握"
knightlyOrderRanks,"Aspirant
Squire
Gallant
Chevalier
Keeper
Knight Brother
Commander
Marshall
Seneschal
Paladin","有抱负的人 
 乡绅 
 英勇 
 更 
 门将 
 骑士兄弟 
 指挥官 
 马歇尔 
 管家 
 圣骑士"
magesRanks,"Apprentice
Journeyman
Evoker
Conjurer
Magician
Enchanter
Warlock
Wizard
Master Wizard
Archmage","学徒 
 旅行者 
 Evoker 
 魔术师 
 魔术师 
 魔法师 
 术士 
 向导 
 向导大师 
 大师"
templeRanks,"Novice
Initiate
Acolyte
Adept
Curate
Disciple
Brother
Diviner
Master
Patriarch","新手 
 发起 
 侍从 
 熟练 
 策展人 
 弟子 
 兄弟 
 Diviner 
 掌握 
 族长"
thievesRanks,"Apprentice
Journeyman
Filcher
Crook
Robber
Bandit
Thief
Ringleader
Mastermind
Master Thief","学徒 
 旅行者 
 Filcher 
 骗子 
 强盗 
 土匪 
 贼 
 头目 
 策划者 
 小偷大师"
darkSister,Dark Sister,黑暗的姐姐
nonMember,non-member,非会员
knightSister,Knight Sister,骑士姐姐
matriarch,Matriarch,族长
sister,Sister,姐姐
daedricSkill,Daedric,Daedric
orcishSkill,Orcish,orcish
midDateTimeFormatString,{0:00}:{1:00}:{2:00} {3:00} {4:00} 3E{5},{0:00}：{1:00}：{2:00} {3:00} {4:00} 3e {5}
hthDamageFormatString,{0} dmg: {1}-{2},{0} DMG：{1}  -  {2}
affiliationFormatString,{0} (rep:{1}),{0}（rep：{1}）
answers_5404,"bow
bow arrow
crossbow
bows
crossbows","弓 
 弓箭 
 弩 
 弓 
 cross"
answers_5406,"one
1","一 
 1"
answers_5423,"benefactor
the benefactor","恩人 
 恩人"
answers_5424,"shut up
shutup
shaddup","住口 
 住口 
 Shaddup"
answers_5464,"yes
ok
i agree
y
agreed
done
fine
okay
sure
yep","是的 
 好的 
 我同意 
 y 
 同意 
 完毕 
 美好的 
 好的 
 当然 
 是的"
random,Random,随机的
nordSurnameImmutableSuffix,sen,森
confirmDefaultControls,Are you sure you want to set default controls?,您确定要设置默认控件吗？
saveLoadPromptFormat,{0} for '{1}',{0}对于'{1}'
