Key,Value
7766,"门把手上方的小型纹章装置[/左]
清楚地将其标记为[/左]的私人房间
皇室成员。[/左]
[/结尾]","A small heraldic device above the door handle[/left]
clearly marks this as the private chambers of[/left]
a member of the royal family.[/left]
[/end]"
7284,"你就像我的兄弟%pcf。但我不能告诉你我不知道的事情。[/记录]
％钥匙？从未听说过 %key。[/记录]
嘿，我会相信你，但我对%key一无所知。你从来没有告密过我，%pcf。但如果我不知道，我就不知道。[/记录]
%key 响了……不。你知道我会告诉你任何事情，但我不记得了。[/end]","You're like a brother ta me %pcf. But I can't tell ya what I don't know.[/record]
%key? Never heard of %key.[/record]
Hey, I'd trust ya with my back in da alley, but I don't know anythin' about %key. You've never snitched on me, %pcf. But if I don't know, I don't know.[/record]
%key rings a bell...naw. You know I'd tell ya just about anythin', but I can't remember.[/end]"
8076,"%pqn 可能有用。您可以在%pqp中找到%g2。[/record]
与 %pqn 检查——%g 通常在 %pqp 完成工作。[/record]
我不知道它的报酬是多少，但是 %pqn 在 %pqp 有事情要做。[/record]
%pqn 让我寻找像你这样的人。去%pqp找到%g2。[/record]
您非常适合这项 %pqn 需要完成的工作。您将在 %pqp 处找到 %g2。[/record]
%pqp 是您需要去的地方。寻找名为 %pqn 的人。[/end]","%pqn might have work. You can find %g2 in %pqp.[/record]
Check with %pqn -- %g usually has work over at %pqp.[/record]
I don't know what it pays, but %pqn has something to do over at %pqp.[/record]
%pqn asked me to look for people like you. Go find %g2 at %pqp.[/record]
You'd be perfect for this job %pqn needs done. You'll find %g2 at %pqp.[/record]
%pqp is the place you need to go. Look for someone named %pqn.[/end]"
8352,"奥万卡 (Ovank'a) 是阿利克沙漠 (Alik'r Desert) 人民的节日[/center]
向 Stendarr 祈祷，希望局势温和[/center]
和仁慈的一年。它被认为是非常神圣的。[/center]
[/结尾]","Ovank'a is the day the people of the Alik'r Desert[/center]
offer prayers to Stendarr in the hopes of a mild[/center]
and merciful year. It is considered very holy.[/center]
[/end]"
8366,"在加德潮 (Gardtide) 上，Tamalyn Point 的人们举行了[/center]
纪念古老女神 Druagaa 的节日[/center]
花朵。对女神的崇拜几乎已经消亡，[/center]
但庆祝活动总是取得巨大成功。[/center]
[/结尾]","On Gardtide, the people of Tamarilyn Point hold a[/center]
festival to honor Druagaa, the old goddess of[/center]
flowers. Worship of the goddess is all but dead,[/center]
but the celebration is always a great success.[/center]
[/end]"
8700,"（仅限脚轮）[/左]
[/左边]
曾经是一个虚荣的人，Clavicus Vile 做了一个[/左]
适合自己个性的面具。[/左]
面具持有者的可能性更大[/左]
得到积极的回应[/left]
泰姆瑞尔人。他的越高[/左]
个性越大，奖金越大。左边]
面具最著名的故事讲述了[/左]
阿瓦莱亚的故事，一位贵族妇女[/左]
名声。作为一个年轻女孩，她很粗俗[/左]
被恶毒的仆人毁容。阿瓦莱亚[/左]
与 Clavicus Vile 达成了一笔黑暗交易并且[/left]
收到了面具作为回报。虽然[/左]
面具没有改变她的容貌，突然[/左]
她受到[/左]的尊重和钦佩
每个人。她一年零一天后[/左]
与一位人脉广泛的男爵结婚，[/左]
克拉维克斯夺回了他的面具。虽然[/左]
Avalea 怀上了他的孩子[/left]
被逐出男爵的家。[/左]
二十一年零一天后，[/左]
阿瓦莱亚的女儿声称要报仇[/左]
杀死男爵。[/左]
[/左边]
法术：无[/左]
[/结尾]","(caster only)[/left]
[/left]
Ever the vain one, Clavicus Vile made a[/left]
masque suited to his own personality.[/left]
The bearer of the masque is more likely[/left]
to get a positive response from the[/left]
people of Tamriel. The higher his[/left]
personality, the larger the bonus. The[/left]
best known story of the masque tells the[/left]
tale of Avalea, a noblewoman of some[/left]
renown. As a young girl, she was grossly[/left]
disfigured by a spiteful servant. Avalea[/left]
made a dark deal with Clavicus Vile and[/left]
received the masque in return. Though the[/left]
masque did not change her looks, suddenly[/left]
she had the respect and admiration of[/left]
everyone. A year and a day after her[/left]
marriage to a well connected baron,[/left]
Clavicus reclaimed his masque. Although[/left]
pregnant with his child, Avalea was[/left]
banished from the baron's household.[/left]
Twenty one years and one day later,[/left]
Avalea's daughter claimed her vengeance[/left]
by slaying the baron.[/left]
[/left]
Spells: None[/left]
[/end]"
8400,"Baranth Do 于 18 日晚上庆祝[/center]
由阿利克沙漠的红卫士主演。它的[/中心]
意思是“再见去年的野兽。”[/center]
以恶魔形象为特色的选美比赛[/center]
旧年盛行，狂欢致敬[/center]
新年无处不在。[/center]
[/结尾]","Baranth Do is celebrated on the 18th of Evening[/center]
Star by the Redguards of the Alik'r Desert. Its[/center]
meaning is ""Goodbye to the Beast of Last Year.""[/center]
Pageants featuring demonic representations of[/center]
the old year are popular, and revelry to honor[/center]
the new year is everywhere.[/center]
[/end]"
8708,"（1个目标，豁免与魔法）[/左]
[/左边]
在 [/left] 上使用腐化头骨
对手创建了[/左]的副本
受害者。但是，这个重复项将[/left]
攻击原物，而不是持有者[/left]
头骨的。有一个故事是关于[/左]
盗贼公会会长和头骨[/左]
这可能是虚构的，但高度[/左]
有趣。大师使用头骨[/左]
她的敌人，创造了他的克隆体[/左]
斗争。击败原版后，[/左]
聪明的复制品抢走了头骨[/左]
来自Master并用在她身上。[/left]
虽然克隆敌人不能[/left]
直接攻击Master就可以了[/left]
使用头骨创建一个副本[/left]
掌握。两个克隆人共同统治[/左]
盗贼公会多年。[/左]
[/左边]
法术：无[/左]
[/结尾]","(1 target, save vs. magic)[/left]
[/left]
Using the Skull of Corruption on an[/left]
opponent creates a duplicate of the[/left]
victim. However, this duplicate will[/left]
attack the original, not the wielder[/left]
of the Skull. There is a story about[/left]
the Thieves Guild Master and the skull[/left]
that is probably fiction, but highly[/left]
amusing. The Master used the skull on[/left]
her enemy, creating a clone of him to[/left]
fight. After defeating the original,[/left]
the clever duplicate snatched the Skull[/left]
from the Master and used it on her.[/left]
Although the cloned enemy could not[/left]
directly attack the Master, it could[/left]
use the Skull to create a duplicate[/left]
Master. The two clones jointly ruled[/left]
the Thieves Guild for years.[/left]
[/left]
Spells: None[/left]
[/end]"
8388,"沃斯加里安的每个城镇和团契[/中心]
山区庆祝 Khurat，[/center]
最优秀的青年学者被录取[/中心]
各种祭司。即使那些没有[/center]的人
年长的孩子们去祈求智慧和[/中心]
神职人员的仁慈。[/中心]
[/结尾]","Every town and fellowship in the Wrothgarian[/center]
Mountains celebrates Khurat, the day when the[/center]
finest young scholars are accepted into the[/center]
various priesthoods. Even those people without[/center]
children of age go to pray for the wisdom and[/center]
benevolence of the clergy.[/center]
[/end]"
8525,"当啤酒在泰姆瑞尔所有城市的所有酒馆里自由流动时。[/记录]
今年最大的聚会！[/记录]
我真的不赞成一场巨大的醉酒狂欢。[/记录]
当每个人都疯狂的时候，因为到处都是免费的饮料。[/记录]
免费饮料让所有人都流落街头的时刻。[/结束]","when ale flows free in all the taverns in all the cities of Tamriel.[/record]
the biggest party of the year![/record]
a huge drunken orgy I really don't approve of.[/record]
when everyone goes wild 'cause the drinks are free everywhere.[/record]
the time when free drinks turns everyone out on the street.[/end]"
8558,"我知道 %fnpc 和 %fpc 是盟友，但我[/center]
只是不喜欢你的态度。[/center]
[/记录]
我们的派系可能是结盟的，但我听说[/center]
关于你%pcn。不要认为这赋予你权利[/center]
来帮助我。[/中心]
[/记录]
%fpc？ %fnpc 中的其他人可能会喜欢它们，[/center]
但我不这么认为。把你丑陋的脸带到别处去。[/center]
[/记录]
我还有比站立更重要的事情要做[/center]
在这里回答你的愚蠢问题。[/center]
[/结尾]","I know %fnpc and %fpc are allied, but I[/center]
just don't like your attitude.[/center]
[/record]
Our factions may be allied, but I ve heard[/center]
about you %pcn. Don't think that entitles you[/center]
to my help.[/center]
[/record]
%fpc? The other sots in %fnpc may like them,[/center]
but I don't. Take your ugly face elsewhere.[/center]
[/record]
I have more important things to do than stand[/center]
here answering your foolish questions.[/center]
[/end]"
7283,"虽然你对我的忠诚无可非议，但我只是不知道%key。[/record]
作为我最忠实的支持者之一，如果我知道答案，我会告诉你。[/记录]
％钥匙？我没有最模糊的亲爱的%pcf。[/record]
我曾经听说过%key，但我忘了它是什么。[/record]
我绝对相信你，所以当我告诉你我只是不知道时，希望你能理解。[/end]","Though your loyalty to me is beyond reproach, I just don't know about %key.[/record]
As one of my most loyal supporters, I would tell you if I only knew the answer.[/record]
%key? I haven't the foggiest dear %pcf.[/record]
I heard about %key once, but I forgotten what it was.[/record]
I trust you implicitly, so I hope you understand when I tell you that I just don't know.[/end]"
9000.35,"35. 朋友Othisa被一个男孩殴打了好几次[/左]
     比你或她年长几岁。她向你索要[/左]
     帮助。您更倾向于：[/left]
 a) 召集一群朋友一起伏击男孩，[/左]
     教他有关欺凌的教训。[/左]
 b) 告诉 Othisa 避免欺凌 - 没有理由[/left]
     事情比实际情况更糟。[/左]
 c) 挑战年长的男孩，知道你会的[/left]
     可能会受到打击，但有信心如果你这样做[/left]
     次数够多了，他就会继续挑衅某人[/左]
     谁是更容易的目标。[/左]","35.    Othisa, a friend, has been beaten by a boy several[/left]
     years older than either you or her. She asks for your[/left]
     help. Are you more inclined to:[/left]
 a)  Gather a bunch of friends together and ambush the boy,[/left]
     teaching him a lesson about bullying.[/left]
 b)  Tell Othisa to avoid the bully - no reason to make[/left]
     things worse than they are.[/left]
 c)  Challenge the older boy, knowing that you will[/left]
     probably take a beating, but confident that if you do[/left]
     it enough times, he will move on to pick on someone[/left]
     who is an easier target.[/left]"
31,"您想去[/center]旅游吗
%tcn？[/中心]
[/结尾]","Do you wish to travel to[/center]
%tcn?[/center]
[/end]"
108,"您感染了霍乱，[/center]
[/中心]最致命的疾病之一
除非帮助，泰姆瑞尔总是致命的[/中心]
非常非常快地给出。[/center]
[/结尾]","You have contracted Cholera,[/center]
one of the deadliest diseases in[/center]
Tamriel and always fatal unless help[/center]
is given very, very quickly.[/center]
[/end]"
202,"鼠神之作[/记录]
阿里扎哈德的妓女[/记录]
奥克雷斯特之尘[/记录]
艾斯维尔沙滩边[/记录]
借着圣水[/记录]
出自易卜拉哈德之手[/记录]
沙漠太阳[/记录]
干涸的心[/记录]
生命之水旁[/记录]
沙之恶魔[/完]","By the Rat-god[/record]
Whore of Alizahad[/record]
Dust of Orcrest[/record]
By the Sands of Elsweyr[/record]
By the Blessed Water[/record]
By the Hand of Ibrahad[/record]
Desert Sun[/record]
By the Dry Heart[/record]
By the Water of Life[/record]
Devil of the Sands[/end]"
207,"由至高者[/记录]
由白水晶[/记录]
在埃尔伯恩森林旁[/记录]
蓝色鸿沟[/记录]
精灵之光[/记录]
来自异世界[/记录]
泰姆瑞尔第一灵魂[/记录]
卡西莫兰之刃[/记录]
夏暮水晶[/记录]
借着第一灵[/结束]","By the Highest One[/record]
By the White Crystal[/record]
By the Wood of Elborn[/record]
By the Blue Divide[/record]
Faerielight[/record]
By the Otherworld[/record]
First Spirit of Tamriel[/record]
Blade of Cassimoran[/record]
Crystals of Sumurset[/record]
By the First Spirit[/end]"
250,"[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
%sub 由 %an[/记录]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
%an[/record] 的 %sub
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
%adj by %an[/记录]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
%adj %sub by %an[/记录]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
%pp1 %sub 由 %an[/记录]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
%pp1 %adj %sub by %an[/记录]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
%sub %pp2 作者：%an[/记录]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
%adj %sub %pp2 by %an[/记录]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
[/左边]
%pp1 %adj %sub %pp2 by %an[/结束]","[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%sub by %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
The %sub by %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%adj by %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%adj %sub by %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%pp1 %sub by %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%pp1 %adj %sub by %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%sub %pp2 by %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%adj %sub %pp2 by %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%pp1 %adj %sub %pp2 by %an[/end]"
265,"“我没时间陪你这样的人。我会[/center]
只需为此类垃圾支付 %a 即可。”[/record]
“%一块金子，孩子。要么接受，要么放弃。”[/center]
[/记录]
“别再笨拙地以物易物了，孩子。我会[/center]
给你%a金币，这是最高的[/center]
我会去。期间。”[/中心]
[/记录]
“听着，%ra。你和我都知道[/center]
一块钱不值钱，[/center]
正确的？所以我们不要假装。你不[/中心]
必须同意，但这就是我会的[/center]
付出代价。”[/center]
[/结尾]","""I have no time for such as you. I will[/center]
only pay %a for such trash.""[/record]
""%a gold, kid. Take it or leave it.""[/center]
[/record]
""No more clumsy bartering, kid. I'll[/center]
give you %a gold, and that's the highest[/center]
I'll go. Period.""[/center]
[/record]
""Listen, %ra. You and me both know that[/center]
ain't worth a piece more than %a gold,[/center]
right? So let's not pretend. You don't[/center]
haveta agree to it, but that's what I'll[/center]
pay for it.""[/center]
[/end]"
267,"这家店的装修比很多都好。[/center]
货架上的商品整齐地摆放着。[/center]
虽然不适合国王，但都是[/center]
制作精良。[/center]
[/结尾]","The shop is better appointed than many.[/center]
Its wares lie neatly on the shelves.[/center]
Although not fit for a king, all are[/center]
skillfully crafted.[/center]
[/end]"
289,"您已经在这家银行有贷款。[/center]
我们必须先全额还清[/center]
再给你一笔贷款。[/center]
[/结尾]","You already have a loan with this bank.[/center]
It must be paid off in full before we will[/center]
grant you another loan.[/center]
[/end]"
507,"泥土中划出了符文。[/记录]
你感到一种隐隐约约的不安感。[/记录]
你看到灌木丛里有动静。[/结束]","A rune is scratched in the dirt.[/record]
You feel a vague sense of unease.[/record]
You see movement in the underbrush.[/end]"
521,"你闻到了兽人的味道。绝对是兽人。[/记录]
兽人已经践踏了这里的土地。[/记录]
一声刺耳的叫喊让你措手不及。[/结束]","You smell orcs.  Definitely orcs.[/record]
Orcs have trampled the ground here.[/record]
A harsh yell brings you up short.[/end]"
550,"盗贼公会贿赂法官，[/center]
你被判无罪。[/center]
[/结尾]","The Thieves Guild bribes the judge,[/center]
and you are found not guilty.[/center]
[/end]"
882,十字军是慈悲之神斯坦达尔的骑士。他们保护斯坦达尔神庙，并在情况需要时充当他富有同情心的利刃。[/结束],"The Crusaders are the knights of Stendarr, God of Mercy. They protect the Temples of Stendarr and act as his compassionate blade when the situation demands.[/end]"
885,烛光骑士团是负责保护王室和哨兵王国的骑士团。[/结束],The Order of the Candle is the knightly order charged with the protection of the royal family and kingdom of Sentinel.[/end]
1373,"精灵语是一项语言技能检查[/center]
每当有人试图与[/center]交谈时
野生精灵。[/center]
[/结尾]","Elvish is a language skill checked[/center]
whenever one attempts to speak with[/center]
a Wild Elf.[/center]
[/end]"
1008,"%po[/中心]
价值：%wth 金币[/center]
重量：%kg 公斤[/center]
[/结尾]","%po[/center]
Worth: %wth gold[/center]
Weight: %kg kilograms[/center]
[/end]"
1218,"驱散——迪德拉[/center]
持续时间：N/A + N/A 每 N/A 级别[/中心]
几率：每 %clc 等级 %bch + %ach[/center]
幅度：N/A + N/A 每 N/A 级别[/center]
“使迪德拉被驱散。[/center]
基本成功几率为 %bch,[/center]
施法者的每 %clc 等级加上 %ach。""[/center]
[/结尾]","Dispel -- Daedra[/center]
Duration: N/A + N/A per N/A level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Causes Daedra to be dispelled.[/center]
Base chance of success is %bch,[/center]
plus %ach for every %clc level(s) of the caster.""[/center]
[/end]"
1231,"元素抗性——魔法[/center]
持续时间：%bdr + %adr 每 %cld 级别[/center]
几率：每 %clc 等级 %bch + %ach[/center]
幅度：N/A + N/A 每 N/A 级别[/center]
“使目标对魔法具有抵抗力。[/center]
法术持续 %bdr 轮，加上 %adr 轮[/center]
每 %cld 施法者等级。基本成功机会[/center]
是 %bch，加上施法者每 %clc 等级的 %ach。[/center]
如果法术不成功，目标将受到一半伤害。”[/center]
[/结尾]","Elemental Resistance -- Magic[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Causes target to be resistant to magic.[/center]
Spell lasts %bdr round(s), plus %adr round(s)[/center]
per %cld level(s) of caster. Base chance of success[/center]
is %bch, plus %ach for every %clc level(s) of the caster.[/center]
Target takes half damage if spell is unsuccessful.""[/center]
[/end]"
1232,"强化力量[/中心]
持续时间：%bdr + %adr 每 %cld 级别[/center]
几率：每 %clc 等级 %bch + %ach[/center]
震级：%1bm - %2bm + %1am - %2am[/center]
每 %clm 级别[/center]
“增加目标的力量。[/center]
目标将获得 %1bm 到 %2bm 点力量[/center]
每 %clm 级别加 %1am 至 %2am 积分[/center]
施法者的。增加持续 %bdr 轮，加上 %adr 轮[/center]
对于施法者的每 %cld 等级。""[/center]
[/结尾]","Fortify Strength[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Increases target's Strength.[/center]
Target will gain %1bm to %2bm points of Strength[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster. Increase lasts %bdr round(s), plus %adr round(s)[/center]
for every %cld level(s) of caster.""[/center]
[/end]"
1249,"治愈疲劳[/中心]
持续时间：%bdr + %adr 每 %cld 级别[/center]
几率：每 %clc 等级 %bch + %ach[/center]
震级：%1bm - %2bm + %1am - %2am[/center]
每 %clm 级别[/center]
“治愈目标的疲劳。[/center]
目标将治愈 %1bm 到 %2bm 点疲劳，[/center]
每 %clm 级别加 %1am 至 %2am 积分[/center]
施法者直到目标疲劳为止[/center]
处于正常水平。”[/center]
[/结尾]","Heal Fatigue[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Heals target's Fatigue.[/center]
Target will heal %1bm to %2bm points of Fatigue,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster until target's Fatigue[/center]
is at its normal level.""[/center]
[/end]"
912,"那就来吻我吧，二十岁，甜蜜[/record]
没有什么可以吃的[/记录]
鼠鼠鼠，鼓声敲响[/记录]
如果这只是一场游戏，亲爱的，我们就作弊吧[/记录]
让我用你所有的热量来温暖我[/记录]
山谷里，听见羊悲伤的咩咩声[/记录]
O Notorgo，创建我的消息舰队[/记录]
心冷如晨星天际雨夹雪[/记录]
让我们尽情享受美酒、水果和肉吧！[/记录]
阿凯，你必须面对残酷的命运[/记录]
闪烁的星星，爱，让我们打招呼[/记录]
我可以在 %cn 街上见到你吗？[/record]
你的头发，郁郁葱葱，棕色，像布列塔尼小麦[/记录]
她坚强，他衰弱[/记录]
黎明击败顽皮的夜晚[/记录]
选我为近卫精英[/记录]
我最甜蜜的爱，我必须重复吗？[/记录]
面对这样的困难，我们还敢竞争吗？[/记录]
亲爱的，别问我要谨慎[/记录]
看到这样的景象我无法退缩[/记录]
亲爱的，爱我，她恳求[/记录]
但恋人们的心却充满了欺骗[/记录]
这样的科学不是已经过时了吗？[/记录]
我从头到脚吻你[/完]","Then come and kiss me, twenty and sweet[/record]
There is nothing I can eat[/record]
Rat-rat-rat, the drums doth beat[/record]
If it's all a game, my love, let's cheat[/record]
Let me warm me with all thy heat[/record]
In the valley, hear the sheep sad bleat[/record]
O Notorgo, make my message fleet[/record]
Heart cold as Morning Star Skyrim sleet[/record]
Let us feast on wine and fruit and meat![/record]
Arkay, cruel fate thee must mete[/record]
The twinkling stars, love, let us greet[/record]
Shall I see thee in a %cn street?[/record]
Thy hair, lush and brown, like Breton wheat[/record]
She is strong and he effete[/record]
The naughty night the dawn doth defeat[/record]
Elect me to the guards elite[/record]
My sweetest love, must I repeat?[/record]
Against such odds, dare we compete?[/record]
Don't ask me, love, to be discreet[/record]
From such a sight I can't retreat[/record]
Love me dear, she doth entreat[/record]
But lovers heart brim with deceit[/record]
Is not such science made obsolete?[/record]
I kiss you from your head to your feet[/end]"
1258,"转移健康[/中心]
持续时间：%bdr + %adr 每 %cld 级别[/center]
几率：每 %clc 等级 %bch + %ach[/center]
震级：%1bm - %2bm + %1am - %2am[/center]
每 %clm 级别[/中心]
“将目标的生命值转移给施法者。[/center]
目标将转移 %1bm 至 %2bm 点生命值，[/center]
每 %clm 级别加 %1am 至 %2am 积分[/center]
施法者的。”[/center]
[/结尾]","Transfer Health[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Transfers target's Health to caster.[/center]
Target will transfer %1bm to %2bm points of Health,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster.""[/center]
[/end]"
1538,"强化速度[/center]
提高目标的速度。[/center]
持续时间：回合属性增加持续。[/center]
机会：不适用[/center]
幅度：属性增加量。[/center]
[/结尾]","Fortify Speed[/center]
Increases target's Speed.[/center]
Duration: Rounds Attribute increase lasts.[/center]
Chance: N/A[/center]
Magnitude: Amount of Attribute increase.[/center]
[/end]"
1533,"强化智能[/中心]
提高目标的智力。[/center]
持续时间：回合属性增加持续。[/center]
机会：不适用[/center]
幅度：属性增加量。[/center]
[/结尾]","Fortify Intelligence[/center]
Increases target's Intelligence.[/center]
Duration: Rounds Attribute increase lasts.[/center]
Chance: N/A[/center]
Magnitude: Amount of Attribute increase.[/center]
[/end]"
1583,"水上行走[/中心]
目标能够在水面上行走。[/center]
持续时间：回合目标可以在水上行走。[/center]
Chance：成功的机会。[/center]
震级：不适用[/中心]
[/结尾]","Water Walking[/center]
Target is able to walk on top of water.[/center]
Duration: Rounds target can walk on water.[/center]
Chance: Chance of success.[/center]
Magnitude: N/A[/center]
[/end]"
1514,"伤害--法术点[/center]
减少目标的法术点。[/center]
持续时间：瞬时。[/center]
机会：不适用[/center]
幅度：目标失去的法术点数。[/center]
[/结尾]","Damage -- Spell Points[/center]
Reduces target's Spell Points.[/center]
Duration: Instantaneous.[/center]
Chance: N/A[/center]
Magnitude: Number of Spell Points target loses.[/center]
[/end]"
1573,"阴影（正常）[/center]
目标混合到阴影中。咒语被破坏如果[/center]
隐藏在阴影中的隐藏者会攻击任何东西。[/center]
持续时间：回合目标保持隐藏。[/center]
机会：不适用[/中心]
震级：不适用[/中心]
[/结尾]","Shadow (Normal)[/center]
Target blends into shadows. Spell broken if[/center]
hider in shadows attacks anything.[/center]
Duration: Rounds target remains hidden.[/center]
Chance: N/A[/center]
Magnitude: N/A[/center]
[/end]"
1702,"您的金币不足[/center]
购买这个法术。[/center]
[/结尾]","You do not have enough gold[/center]
to purchase this spell.[/center]
[/end]"
1584,"缩小[/中心]
目标缩小到正常大小的一半。[/center]
持续时间：回合目标缩小。[/center]
Chance：成功的机会。[/center]
震级：不适用[/中心]
[/结尾]","Diminution[/center]
Target shrinks to half normal size.[/center]
Duration: Rounds target is shrunk.[/center]
Chance: Chance of success.[/center]
Magnitude: N/A[/center]
[/end]"
1652,该物品已被附魔。[/end],The item has been enchanted.[/end]
1703,"你没有法术书[/center]
用它来铭刻这个咒语。[/center]
[/结尾]","You do not have a spellbook[/center]
with which to inscribe this spell.[/center]
[/end]"
1650,您没有足够的金币来支付施法者的费用。[/end],You do not have the gold to properly pay the enchanter.[/end]
2051,"阿卡托什教堂致力于崇拜[/中心]
巨龙阿卡托什。阿卡托什是最[/center]
诸神的常数，因为他的领域就是时间本身。[/center]
[/中心]
也许，如果你需要时间的祝福[/center]
并愿意做出可观的捐款，[/center]
阿卡托什可能会对你微笑并给予你时间：[/center]
也许是时候治愈你的伤了，或者是时候[/center]
缩短您的航程。[/center]
[/中心]
我们这里的祭司和女祭司有各种各样的[/center]
会员可以获得的其他技能和服务[/center]
阿卡托什教堂的。当然，必须是[/center]
在一个人受到庇护之前被判断为值得[/center]
阿卡托什的伟大之翼。[/center]
[/中心]
您有兴趣加入吗？[/center]
[/结尾]","The Akatosh Chantry is devoted to the worship[/center]
of Akatosh, the Great Dragon. Akatosh is the most[/center]
constant of gods, for his sphere is time itself.[/center]
[/center]
Perhaps, if you are in need of a blessing of time[/center]
and are willing to make an appreciable donation,[/center]
Akatosh might smile upon you and grant you time:[/center]
time to heal your injuries, perhaps, or time to[/center]
shorten your voyages.[/center]
[/center]
Our priests and priestess here have a variety of[/center]
other skills and services available for members[/center]
of the Akatosh Chantry. Naturally, one has to be[/center]
judged worthy before one is sheltered under the[/center]
Great Wings of Akatosh.[/center]
[/center]
Are you perhaps interested in joining?[/center]
[/end]"
